id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
433114,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,465,1026000
433115,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,318,702000
433116,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
433117,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,343,756000
433118,2/20/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,465,1026000
433119,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,441,972000
433120,2/20/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,465,1026000
433121,2/20/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,416,918000
433122,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,441,972000
433123,2/20/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,490,1080000
433124,2/20/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,416,918000
433125,2/20/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,269,594000
433126,2/20/20,SOYBEANS,BURMA,S. ATLANTIC,EAST COAST,416,918000
433127,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,465,1026000
433128,2/20/20,SOYBEANS,CHINA T,S. ATLANTIC,EAST COAST,220,486000
433129,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,392,864000
433130,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
433131,2/20/20,SOYBEANS,MALAYSIA,S. ATLANTIC,EAST COAST,122,270000
433132,2/20/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,367,810000
433133,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,147,324000
433134,2/20/20,SOYBEANS,MALAYSIA,S. ATLANTIC,EAST COAST,392,864000
433135,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
433136,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
433137,2/20/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,220,486000
433138,2/20/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,367,810000
433139,2/20/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,3042,6706780
433140,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,699,1540000
433141,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,599,1320000
433142,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433143,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433144,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433145,2/20/20,SOYBEANS,JAPAN,MISSISSIPPI R.,EAST GULF,44226,97500740
433146,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,294,648000
433147,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,269,594000
433148,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,98,216000
433149,2/20/20,SOYBEANS,MALAYSIA,INTERIOR,INTERIOR,220,486000
433150,2/20/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,31574,69608180
433151,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433152,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433153,2/20/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,490,1080000
433154,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,367,810000
433155,2/20/20,SOYBEANS,PHILIPPINES,INTERIOR,INTERIOR,147,324000
433156,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433157,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,299,660000
433158,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,599,1320000
433159,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,11077,24420000
433160,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,11576,25520000
433161,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,1796,3960000
433162,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,8981,19800000
433163,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,499,1100000
433164,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,48,105600
433165,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,200,440000
433166,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,455,1003200
433167,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,100,220000
433168,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,96,211200
433169,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,2295,5060000
433170,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,216,475200
433171,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,699,1540000
433172,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,11177,24640000
433173,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,479,1056000
433174,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,263,580800
433175,2/20/20,CORN,MEXICO,INTERIOR,INTERIOR,407,897600
433176,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,48,105600
433177,2/20/20,WHEAT,THAILAND,PUGET SOUND,WEST COAST,196,432000
433178,2/20/20,CORN,COLOMBIA,N. TEXAS,WEST GULF,19800,43651080
433179,2/20/20,CORN,JAPAN,COLUMBIA R.,WEST COAST,60229,132781860
433180,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,399,880000
433181,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,11177,24640000
433182,2/20/20,SOYBEANS,PHILIPPINES,INTERIOR,INTERIOR,220,486000
433183,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,24,54000
433184,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,24,54000
433185,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,24,54000
433186,2/20/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,24,54000
433187,2/20/20,SOYBEANS,JAPAN,INTERIOR,INTERIOR,196,432000
433188,2/20/20,CORN,CHINA T,INTERIOR,INTERIOR,245,540000
433189,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433190,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433191,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,245,540000
433192,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,122,270000
433193,2/20/20,SOYBEANS,KOREA REP,INTERIOR,INTERIOR,147,324000
433194,2/20/20,SOYBEANS,KOREA REP,INTERIOR,INTERIOR,171,378000
